gene_a.identifier,gene_a.name,gene_b.identifier,gene_b.name,cancer
27528,TUBA1A,80970,CDC73,CESC
27528,TUBA1A,86335,CHEK2,CESC
27528,TUBA1A,7332,BLM,CESC
27528,TUBA1A,73545,YWHAZ,CESC
29939,DHFR,80970,CDC73,CESC
31317,KDM5C,66175,VHL,CESC
31648,CDC7,21929,BRD4,CESC
31648,CDC7,77610,ING5,CESC
31648,CDC7,34485,RPS11,CESC
31900,DRD2,61622,MSH2,CESC
33264,CDK9,86208,ROR1,CESC
33264,CDK9,85188,PIK3CA,CESC
33264,CDK9,34485,RPS11,CESC
33264,CDK9,66677,RUNX1,CESC
33264,CDK9,34163,SMAD4,CESC
33264,CDK9,77610,ING5,CESC
41830,FNTA,24720,RPS19,CESC
41830,FNTA,31516,ATAD5,CESC
41830,FNTA,92974,XRCC3,CESC
41830,FNTA,7332,BLM,CESC
42327,RABGGTB,31516,ATAD5,CESC
42327,RABGGTB,92974,XRCC3,CESC
42327,RABGGTB,24720,RPS19,CESC
42327,RABGGTB,7332,BLM,CESC
42327,RABGGTB,86177,MTOR,CESC
44510,ADA,73372,CHEK1,CESC
44510,ADA,7332,BLM,CESC
47636,TOP1,48627,CDC6,CESC
47636,TOP1,1204,TTN,CESC
47636,TOP1,5964,FH,CESC
47636,TOP1,14106,LLGL1,CESC
47636,TOP1,48399,PALB2,CESC
47636,TOP1,34485,RPS11,CESC
47636,TOP1,43783,MAP3K4,CESC
47636,TOP1,80970,CDC73,CESC
47636,TOP1,61622,MSH2,CESC
47636,TOP1,83496,RAD17,CESC
55035,PTEN,66175,VHL,CESC
55810,PRKDC,66175,VHL,CESC
56655,RRM2,66175,VHL,CESC
56655,RRM2,14011,WEE1,CESC
56881,GATA3,14011,WEE1,CESC
58298,CDKN1B,90181,IGF1R,CESC
58298,CDKN1B,66175,VHL,CESC
60338,RFC1,86335,CHEK2,CESC
65860,PDGFRA,66175,VHL,CESC
66202,CSNK2A1,15850,APC,CESC
66202,CSNK2A1,31516,ATAD5,CESC
66202,CSNK2A1,26328,STK11,CESC
66733,KDM6A,80130,MSH6,CESC
69367,ARID1A,66175,VHL,CESC
73372,CHEK1,74282,SMO,CESC
73372,CHEK1,89712,TYMS,CESC
73372,CHEK1,55810,PRKDC,CESC
73372,CHEK1,85188,PIK3CA,CESC
73372,CHEK1,88859,SRC,CESC
73372,CHEK1,22342,SMARCA4,CESC
83496,RAD17,86335,CHEK2,CESC
84525,ARID2,66175,VHL,CESC
85188,PIK3CA,56655,RRM2,CESC
85211,TOP2A,48399,PALB2,CESC
85211,TOP2A,81402,NF1,CESC
85211,TOP2A,48627,CDC6,CESC
85211,TOP2A,34485,RPS11,CESC
85211,TOP2A,46130,BRCA2,CESC
85211,TOP2A,5964,FH,CESC
85211,TOP2A,80970,CDC73,CESC
85211,TOP2A,73372,CHEK1,CESC
85211,TOP2A,14011,WEE1,CESC
85211,TOP2A,1204,TTN,CESC
85211,TOP2A,83496,RAD17,CESC
85211,TOP2A,43783,MAP3K4,CESC
85211,TOP2A,14106,LLGL1,CESC
85534,TSC1,66175,VHL,CESC
86177,MTOR,73545,YWHAZ,CESC
86177,MTOR,34163,SMAD4,CESC
86335,CHEK2,80970,CDC73,CESC
86335,CHEK2,7332,BLM,CESC
86335,CHEK2,48627,CDC6,CESC
87381,AKT1,73372,CHEK1,CESC
91051,HSP90AA1,27297,FZR1,CESC
91051,HSP90AA1,61862,MCL1,CESC
91051,HSP90AA1,76660,ATR,CESC
91051,HSP90AA1,14106,LLGL1,CESC
