a	b
50772.0	648
34389.0	649
18005.0	650
67160.0	651
34393.0	652
18009.0	653
50780.0	654
18014.0	655
50783.0	656
1633.0	657
67172.0	658
34404.0	659
50791.0	660
50793.0	661
83562.0	662
18025.0	663
1645.0	664
50797.0	665
83567.0	666
18034.0	667
83570.0	668
67188.0	669
18037.0	670
50806.0	671
18040.0	672
83577.0	673
67194.0	674
1659.0	675
83580.0	676
67197.0	677
18043.0	678
83588.0	679
1671.0	680
83591.0	681
67210.0	682
18058.0	683
34444.0	684
50829.0	685
18063.0	686
83601.0	687
1682.0	688
83603.0	689
50838.0	690
18074.0	691
83610.0	692
67229.0	693
34463.0	694
67235.0	695
67236.0	696
83619.0	697
83620.0	698
18088.0	699
18091.0	700
50861.0	701
34480.0	702
1713.0	703
83635.0	704
34491.0	705
67260.0	706
83646.0	707
67265.0	708
34497.0	709
50882.0	710
18117.0	711
83653.0	712
83659.0	713
34511.0	714
83663.0	715
34520.0	716
18136.0	717
34522.0	718
1755.0	719
50908.0	720
50911.0	721
50915.0	722
50916.0	723
34534.0	724
18151.0	725
18152.0	726
1770.0	727
34544.0	728
83708.0	729
83710.0	730
18175.0	731
50944.0	732
67329.0	733
67330.0	734
34563.0	735
18178.0	736
50947.0	737
1799.0	738
83719.0	739
50952.0	740
83725.0	741
67343.0	742
83727.0	743
34580.0	744
18200.0	745
83739.0	746
18204.0	747
83743.0	748
67360.0	749
1824.0	750
67362.0	751
1829.0	752
34597.0	753
1835.0	754
83755.0	755
18219.0	756
18222.0	757
18223.0	758
67377.0	759
1849.0	760
67388.0	761
1852.0	762
83772.0	763
83782.0	764
67400.0	765
1865.0	766
83784.0	767
1869.0	768
1877.0	769
51032.0	770
34650.0	771
18268.0	772
1890.0	773
34661.0	774
83814.0	775
18279.0	776
1897.0	777
1898.0	778
1899.0	779
1900.0	780
1901.0	781
34670.0	782
34671.0	783
83824.0	784
51059.0	785
18294.0	786
51068.0	787
18302.0	788
51071.0	789
51073.0	790
51076.0	791
1927.0	792
18311.0	793
34698.0	794
67466.0	795
34700.0	796
18314.0	797
1935.0	798
1936.0	799
18320.0	800
34706.0	801
67475.0	802
67480.0	803
67485.0	804
67486.0	805
18333.0	806
83870.0	807
83872.0	808
1956.0	809
34727.0	810
67498.0	811
83885.0	812
67503.0	813
51120.0	814
51122.0	815
51127.0	816
83899.0	817
18363.0	818
83901.0	819
67518.0	820
83903.0	821
34752.0	822
34755.0	823
67523.0	824
83909.0	825
1990.0	826
83910.0	827
83918.0	828
1999.0	829
51156.0	830
51160.0	831
18393.0	832
2010.0	833
34779.0	834
2019.0	835
34796.0	836
2041.0	837
83964.0	838
83977.0	839
18445.0	840
83982.0	841
51215.0	842
34833.0	843
51224.0	844
2073.0	845
18458.0	846
2077.0	847
18461.0	848
18470.0	849
34855.0	850
67625.0	851
18474.0	852
18475.0	853
34862.0	854
67632.0	855
51249.0	856
84018.0	857
84020.0	858
34872.0	859
