a	b
35872.0	1005
3104.0	1006
35875.0	1007
68647.0	1008
68650.0	1009
3115.0	1010
68651.0	1011
68663.0	1012
35895.0	1013
35902.0	1014
3137.0	1015
35908.0	1016
3144.0	1017
68684.0	1018
3150.0	1019
35923.0	1020
3163.0	1021
35934.0	1022
68702.0	1023
68705.0	1024
3173.0	1025
3174.0	1026
3176.0	1027
68715.0	1028
3180.0	1029
35955.0	1030
68732.0	1031
35971.0	1032
35972.0	1033
35973.0	1034
35976.0	1035
68744.0	1036
35978.0	1037
68747.0	1038
3212.0	1039
68748.0	1040
35979.0	1041
35983.0	1042
3216.0	1043
68760.0	1044
3225.0	1045
35993.0	1046
68762.0	1047
68763.0	1048
68764.0	1049
36000.0	1050
3234.0	1051
3236.0	1052
68775.0	1053
68777.0	1054
36010.0	1055
36013.0	1056
3249.0	1057
36017.0	1058
36024.0	1059
3263.0	1060
68805.0	1061
3273.0	1062
3280.0	1063
3287.0	1064
68824.0	1065
3291.0	1066
3294.0	1067
68831.0	1068
36064.0	1069
68833.0	1070
3302.0	1071
3309.0	1072
3315.0	1073
68859.0	1074
36093.0	1075
68865.0	1076
3330.0	1077
3332.0	1078
68872.0	1079
3339.0	1080
36108.0	1081
68880.0	1082
36118.0	1083
36126.0	1084
68899.0	1085
36134.0	1086
3368.0	1087
3370.0	1088
68910.0	1089
3375.0	1090
68911.0	1091
36145.0	1092
3378.0	1093
36147.0	1094
3384.0	1095
3385.0	1096
68925.0	1097
3393.0	1098
36163.0	1099
36165.0	1100
36167.0	1101
68936.0	1102
36168.0	1103
68938.0	1104
68940.0	1105
36173.0	1106
68941.0	1107
3406.0	1108
3407.0	1109
3408.0	1110
36177.0	1111
36178.0	1112
68944.0	1113
36180.0	1114
68950.0	1115
36187.0	1116
68959.0	1117
3425.0	1118
3426.0	1119
36195.0	1120
68964.0	1121
36197.0	1122
3431.0	1123
68976.0	1124
3441.0	1125
3440.0	1126
68977.0	1127
3451.0	1128
3453.0	1129
68990.0	1130
3456.0	1131
68993.0	1132
36228.0	1133
36236.0	1134
3487.0	1135
36255.0	1136
69025.0	1137
3490.0	1138
36258.0	1139
69023.0	1140
36262.0	1141
3498.0	1142
3502.0	1143
3518.0	1144
69056.0	1145
3522.0	1146
3523.0	1147
69061.0	1148
3527.0	1149
3528.0	1150
36297.0	1151
3530.0	1152
36299.0	1153
69063.0	1154
69071.0	1155
69077.0	1156
3542.0	1157
3545.0	1158
69081.0	1159
69085.0	1160
36319.0	1161
36320.0	1162
36336.0	1163
69104.0	1164
3574.0	1165
69110.0	1166
3583.0	1167
69121.0	1168
3590.0	1169
36369.0	1170
3602.0	1171
69143.0	1172
69144.0	1173
69145.0	1174
3611.0	1175
3613.0	1176
69150.0	1177
69158.0	1178
69160.0	1179
69163.0	1180
36398.0	1181
69167.0	1182
3638.0	1183
3641.0	1184
3643.0	1185
36415.0	1186
3660.0	1187
69198.0	1188
36432.0	1189
69201.0	1190
36438.0	1191
3673.0	1192
3675.0	1193
36445.0	1194
36446.0	1195
36452.0	1196
36460.0	1197
69228.0	1198
69230.0	1199
36462.0	1200
3698.0	1201
3705.0	1202
69244.0	1203
36476.0	1204
3708.0	1205
3713.0	1206
3718.0	1207
3719.0	1208
69258.0	1209
3734.0	1210
36503.0	1211
3741.0	1212
3746.0	1213
36515.0	1214
69283.0	1215
36517.0	1216
69282.0	1217
69291.0	1218
3755.0	1219
3757.0	1220
3758.0	1221
3759.0	1222
69294.0	1223
36523.0	1224
3762.0	1225
69300.0	1226
69302.0	1227
3767.0	1228
3769.0	1229
36537.0	1230
69308.0	1231
69310.0	1232
36545.0	1233
36552.0	1234
69321.0	1235
3788.0	1236
3791.0	1237
36562.0	1238
36563.0	1239
69336.0	1240
36577.0	1241
36581.0	1242
69352.0	1243
69357.0	1244
69359.0	1245
69367.0	1246
69368.0	1247
3833.0	1248
69369.0	1249
36610.0	1250
69385.0	1251
36619.0	1252
3852.0	1253
3854.0	1254
3860.0	1255
36634.0	1256
3868.0	1257
69404.0	1258
36636.0	1259
36643.0	1260
3877.0	1261
3878.0	1262
36647.0	1263
69423.0	1264
36656.0	1265
69429.0	1266
69430.0	1267
69431.0	1268
36662.0	1269
3897.0	1270
36669.0	1271
36671.0	1272
36673.0	1273
3910.0	1274
36680.0	1275
36682.0	1276
3915.0	1277
36688.0	1278
3920.0	1279
69463.0	1280
3927.0	1281
36698.0	1282
69467.0	1283
3930.0	1284
3936.0	1285
69474.0	1286
3941.0	1287
3943.0	1288
3949.0	1289
69487.0	1290
36719.0	1291
36720.0	1292
3955.0	1293
69495.0	1294
36727.0	1295
36730.0	1296
3963.0	1297
69500.0	1298
3962.0	1299
3974.0	1300
3981.0	1301
69519.0	1302
69521.0	1303
69523.0	1304
69525.0	1305
69528.0	1306
3992.0	1307
36767.0	1308
36770.0	1309
36772.0	1310
69541.0	1311
36776.0	1312
69545.0	1313
4011.0	1314
36782.0	1315
4017.0	1316
36785.0	1317
36788.0	1318
4021.0	1319
36790.0	1320
4022.0	1321
69568.0	1322
69569.0	1323
36802.0	1324
4034.0	1325
36804.0	1326
36806.0	1327
4040.0	1328
36814.0	1329
4047.0	1330
36816.0	1331
4048.0	1332
36821.0	1333
36822.0	1334
4055.0	1335
36825.0	1336
36826.0	1337
36832.0	1338
4064.0	1339
69605.0	1340
69607.0	1341
36843.0	1342
69615.0	1343
69619.0	1344
36858.0	1345
69627.0	1346
69630.0	1347
4098.0	1348
69640.0	1349
4111.0	1350
69647.0	1351
36881.0	1352
36884.0	1353
69656.0	1354
4131.0	1355
4133.0	1356
36908.0	1357
36913.0	1358
69682.0	1359
69686.0	1360
36918.0	1361
4159.0	1362
4160.0	1363
36932.0	1364
69700.0	1365
69701.0	1366
36933.0	1367
36934.0	1368
4172.0	1369
4176.0	1370
4179.0	1371
36948.0	1372
4180.0	1373
36947.0	1374
4183.0	1375
36952.0	1376
4189.0	1377
4196.0	1378
4205.0	1379
69742.0	1380
69746.0	1381
36980.0	1382
4212.0	1383
69750.0	1384
4217.0	1385
36986.0	1386
69759.0	1387
36992.0	1388
4225.0	1389
36995.0	1390
36999.0	1391
69770.0	1392
69773.0	1393
37007.0	1394
69776.0	1395
69779.0	1396
4253.0	1397
4262.0	1398
69800.0	1399
69801.0	1400
4272.0	1401
37043.0	1402
4276.0	1403
4275.0	1404
69814.0	1405
4278.0	1406
4280.0	1407
69816.0	1408
4285.0	1409
37053.0	1410
4293.0	1411
69832.0	1412
4300.0	1413
37070.0	1414
37074.0	1415
4308.0	1416
4316.0	1417
69853.0	1418
4317.0	1419
37087.0	1420
37088.0	1421
37090.0	1422
37092.0	1423
69863.0	1424
4337.0	1425
69875.0	1426
69879.0	1427
4362.0	1428
4363.0	1429
69899.0	1430
69901.0	1431
37134.0	1432
37136.0	1433
37138.0	1434
37139.0	1435
37143.0	1436
69912.0	1437
37145.0	1438
4380.0	1439
37150.0	1440
69922.0	1441
4386.0	1442
4389.0	1443
69925.0	1444
37157.0	1445
69928.0	1446
4390.0	1447
37162.0	1448
4396.0	1449
4398.0	1450
4401.0	1451
37170.0	1452
4403.0	1453
69948.0	1454
4415.0	1455
4419.0	1456
37202.0	1457
69970.0	1458
