a	b
3406.0	1612
3407.0	1613
3408.0	1614
85326.0	1615
19790.0	1616
85336.0	1617
85337.0	1618
85338.0	1619
36187.0	1620
85340.0	1621
85342.0	1622
68959.0	1623
19809.0	1624
3426.0	1625
36195.0	1626
68964.0	1627
36197.0	1628
52579.0	1629
52581.0	1630
85353.0	1631
52587.0	1632
19819.0	1633
19823.0	1634
68976.0	1635
3441.0	1636
52593.0	1637
85367.0	1638
19832.0	1639
3451.0	1640
3453.0	1641
19839.0	1642
3456.0	1643
68993.0	1644
52610.0	1645
36228.0	1646
52617.0	1647
85387.0	1648
36236.0	1649
85392.0	1650
52626.0	1651
19860.0	1652
85397.0	1653
3487.0	1654
36255.0	1655
69025.0	1656
3490.0	1657
69023.0	1658
19874.0	1659
19881.0	1660
3498.0	1661
3502.0	1662
19887.0	1663
85440.0	1664
3523.0	1665
52675.0	1666
69061.0	1667
3527.0	1668
69063.0	1669
36297.0	1670
36303.0	1671
52689.0	1672
85459.0	1673
52692.0	1674
69077.0	1675
3542.0	1676
52691.0	1677
19926.0	1678
3545.0	1679
52693.0	1680
19931.0	1681
69085.0	1682
36319.0	1683
36320.0	1684
19942.0	1685
85486.0	1686
19951.0	1687
36336.0	1688
69104.0	1689
19952.0	1690
52724.0	1691
69110.0	1692
52728.0	1693
19962.0	1694
85501.0	1695
3583.0	1696
69121.0	1697
19969.0	1698
3590.0	1699
85510.0	1700
19975.0	1701
3594.0	1702
85516.0	1703
3602.0	1704
19986.0	1705
52756.0	1706
69144.0	1707
69145.0	1708
3611.0	1709
3613.0	1710
85534.0	1711
69150.0	1712
52771.0	1713
20003.0	1714
69158.0	1715
85543.0	1716
69160.0	1717
85544.0	1718
20011.0	1719
36398.0	1720
69167.0	1721
3638.0	1722
20022.0	1723
85559.0	1724
3641.0	1725
85562.0	1726
20029.0	1727
36415.0	1728
85572.0	1729
85573.0	1730
85578.0	1731
3660.0	1732
85581.0	1733
69198.0	1734
36432.0	1735
69201.0	1736
85586.0	1737
85587.0	1738
20053.0	1739
36438.0	1740
20055.0	1741
3673.0	1742
3675.0	1743
36446.0	1744
52830.0	1745
85600.0	1746
36452.0	1747
85605.0	1748
52841.0	1749
85610.0	1750
69228.0	1751
69230.0	1752
85614.0	1753
3698.0	1754
85619.0	1755
52854.0	1756
85625.0	1757
85627.0	1758
69244.0	1759
36476.0	1760
3708.0	1761
85630.0	1762
85632.0	1763
52864.0	1764
52870.0	1765
3719.0	1766
85652.0	1767
3734.0	1768
36503.0	1769
85659.0	1770
20128.0	1771
85664.0	1772
69282.0	1773
69283.0	1774
20129.0	1775
36517.0	1776
20133.0	1777
69291.0	1778
