gene1,gene2,class,cancer
EHMT1,PARP1,0,BRCA
LMO2,TSC1,0,BRCA
BRCA2,PIKFYVE,1,BRCA
BRIP1,MCPH1,1,BRCA
PAICS,PARP1,0,BRCA
BRCA1,GOLIM4,1,BRCA
BRCA2,CSMD3,1,BRCA
DHRS13,SUFU,0,BRCA
EZH2,MTRF1L,0,BRCA
AMPD3,BRCA2,1,BRCA
LRRC15,TP53,1,BRCA
BRCA1,MNX1,1,BRCA
MCPH1,MSI2,1,BRCA
PARP1,ROCK1,0,BRCA
RHPN1,TP53,1,BRCA
ERCC4,HERPUD1,0,BRCA
ATM,SLC38A11,1,BRCA
IL6ST,PIK3C3,0,BRCA
FHIT,RECQL4,0,BRCA
FBN1,MAP2K4,1,BRCA
GATA3,PTCH1,1,BRCA
TP53,TP63,1,BRCA
FLI1,PTCH1,1,BRCA
BRCA1,DAP3,1,BRCA
BIRC3,TSC1,1,BRCA
FHIT,PBX1,0,BRCA
CEND1,PTEN,1,BRCA
PTEN,SMPDL3A,1,BRCA
GRHL2,TP53,1,BRCA
AMD1,ATM,1,BRCA
MAPKAPK2,PARP1,0,BRCA
BRIP1,NARS2,1,BRCA
OPA1,TP53,1,BRCA
ATM,SALL3,1,BRCA
CDH1,NFKB2,0,BRCA
FHIT,NOTCH2,0,BRCA
FLI1,MLLT4,1,BRCA
BRCA1,SERPINI1,1,BRCA
NLK,PARP1,0,BRCA
APOD,BRCA1,1,BRCA
DHRS13,ERCC4,0,BRCA
CRYGS,TP53,1,BRCA
KIT,PARP1,0,BRCA
BRCA1,OPA1,1,BRCA
KRAS,MITF,0,BRCA
FLI1,NOTCH2,1,BRCA
KRAS,SDHB,1,BRCA
GRINA,TP53,1,BRCA
CDH1,SYNE2,0,BRCA
BIRC3,WRN,1,BRCA
LMO2,PTPN13,0,BRCA
ATP11A,BRCA2,1,BRCA
PIK3C3,TSC1,1,BRCA
BRCA1,SCHIP1,1,BRCA
JAK2,PIK3R1,0,BRCA
MAML2,NARS2,1,BRCA
BRCA1,TMEM74,1,BRCA
PARP1,THNSL1,0,BRCA
PARP1,UBE2A,0,BRCA
PARP1,VRK3,0,BRCA
EZH2,USP6,0,BRCA
ERCC4,TSC1,0,BRCA
CCND2,KRAS,1,BRCA
ERCC1,PARP1,0,BRCA
GNE,PARP1,0,BRCA
BRCA1,TP63,1,BRCA
BCL10,WRN,1,BRCA
IMPA1,PTEN,1,BRCA
BCL10,MET,0,BRCA
PARP1,TESK2,0,BRCA
CCT2,EXT1,1,BRCA
ERCC4,PER1,0,BRCA
PTEN,SND1,1,BRCA
MITF,PIK3C3,0,BRCA
DHRS13,MSI2,0,BRCA
PARP1,RAD51,1,BRCA
PIK3CA,TP53,1,BRCA
AZIN1,BRCA1,1,BRCA
MAML2,PER1,0,BRCA
FLI1,IL6ST,0,BRCA
ERCC4,MAP2K4,0,BRCA
PARP1,TNNI3K,0,BRCA
CRKL,PARP1,0,BRCA
PARP1,UBE2V2,1,BRCA
FHIT,PPARA,0,BRCA
FHIT,SYNE2,0,BRCA
HAS2,TP53,1,BRCA
CDH9,PTEN,1,BRCA
ABCC4,SUFU,1,BRCA
CXCR2,PTEN,1,BRCA
CANT1,FBN1,0,BRCA
ABCC4,RB1,1,BRCA
FH,MAML2,0,BRCA
JAK2,MET,0,BRCA
CSNK1E,PARP1,0,BRCA
BRCA2,NF1,0,BRCA
BRCA1,DGKI,1,BRCA
NME6,PARP1,0,BRCA
TP53,TSNARE1,1,BRCA
BCL10,BRIP1,0,BRCA
PARP1,TTBK1,1,BRCA
MEN1,MLL3,1,BRCA
BRCA2,PER1,1,BRCA
GABRG3,PTEN,1,BRCA
MTRF1L,PBX1,0,BRCA
DHRS13,MET,0,BRCA
BRCA1,DPYS,1,BRCA
EGFR,PARP1,0,BRCA
LRP12,TP53,1,BRCA
NBEA,PARP1,0,BRCA
IKBKB,PARP1,0,BRCA
CCT2,MLL3,1,BRCA
EXT1,NARS2,1,BRCA
CDH1,FH,0,BRCA
BMPER,PTEN,1,BRCA
TNIK,TP53,1,BRCA
HES1,TP53,1,BRCA
MLLT4,PPARA,0,BRCA
MAML2,SDHB,0,BRCA
GATA3,TRIP11,1,BRCA
LMO2,RPL22,0,BRCA
ELK4,FLI1,1,BRCA
BRCA1,ZNF136,1,BRCA
AK1,PARP1,0,BRCA
BRCA2,SERPINB13,1,BRCA
MEN1,PER1,1,BRCA
BRCA2,PTCH1,1,BRCA
PARP1,PIK3CG,0,BRCA
CD3E,PARP1,0,BRCA
CANT1,PBX1,0,BRCA
BCL10,TRIP11,1,BRCA
