gene1,gene2,class,cancer
KRAS,PRELP,0,COAD
MUS81,P4HA3,0,COAD
BLM,SNX11,0,COAD
LDB2,PTEN,0,COAD
C9orf95,PTTG1,0,COAD
SMARCC1,SP110,0,COAD
FKTN,KRAS,0,COAD
MUS81,TMEM128,0,COAD
KRAS,LIX1,0,COAD
BLM,SGSH,0,COAD
BLM,NKAIN3,0,COAD
ACOT4,PTTG1,0,COAD
MUS81,PHF16,0,COAD
ABCA5,BLM,0,COAD
OSBP2,PTTG1,0,COAD
PTTG1,RNASE4,0,COAD
CNOT6L,MUS81,0,COAD
CCDC87,MUS81,0,COAD
PHF6,SMARCC1,0,COAD
KRAS,NPAS2,0,COAD
BZRAP1,PTEN,0,COAD
FLVCR2,MUS81,0,COAD
CDC42EP4,PTEN,0,COAD
PTEN,WDR13,0,COAD
B3GNT7,PTTG1,0,COAD
CNTNAP5,KRAS,0,COAD
GH1,KRAS,0,COAD
BLM,ZNF804A,0,COAD
BLM,CLCN6,0,COAD
DMPK,PTTG1,0,COAD
ASB9,PTEN,0,COAD
KRAS,PKIB,0,COAD
FAM47C,PTTG1,0,COAD
MED30,MUS81,0,COAD
BLM,CNTN5,0,COAD
ETHE1,PTEN,0,COAD
C22orf30,PTTG1,0,COAD
BCL2L10,EEF2,0,COAD
BLM,GIPR,0,COAD
BLM,GSTM5,0,COAD
CCL28,PTTG1,0,COAD
PTTG1,RILPL2,0,COAD
C17orf58,PTEN,0,COAD
PTEN,RAB6C,0,COAD
C9orf46,MUS81,0,COAD
BLM,SORL1,0,COAD
FOXI2,PTEN,0,COAD
KRAS,RRAGC,0,COAD
CBWD6,KRAS,0,COAD
GPR15,PTEN,0,COAD
GUCA2A,MUS81,0,COAD
FOXJ2,KRAS,0,COAD
DPF2,KRAS,0,COAD
BLM,NACAD,0,COAD
PTEN,SPATA9,0,COAD
ARFGEF1,PTTG1,0,COAD
BLM,ISG20,0,COAD
BLM,C2orf71,0,COAD
KRAS,TBC1D17,0,COAD
FEN1,PTEN,0,COAD
COX7A2,MUS81,0,COAD
PTEN,RNASE11,0,COAD
GLRA3,PTEN,0,COAD
BLM,NIF3L1,0,COAD
BRPF3,SMARCC1,0,COAD
BLM,LMX1B,0,COAD
PGBD4,PTTG1,0,COAD
DHX36,PTEN,0,COAD
MR1,PTEN,0,COAD
GLRX3,PTEN,0,COAD
MIER1,SETD8,0,COAD
BLM,MBD1,0,COAD
LGR4,MUS81,0,COAD
OGFRL1,PTTG1,0,COAD
MEFV,MUS81,0,COAD
MUS81,NDRG4,0,COAD
ELL3,MUS81,0,COAD
BLM,RFX4,0,COAD
FATE1,KRAS,0,COAD
GRM7,KRAS,0,COAD
BLM,SYT4,0,COAD
EXOC7,MUS81,0,COAD
KBTBD10,PTEN,0,COAD
PTEN,RBM47,0,COAD
BLM,TRIM41,0,COAD
BLM,ING1,0,COAD
PTEN,RPLP2,0,COAD
ABHD8,KRAS,0,COAD
KRAS,TBPL2,0,COAD
BLM,INPP5B,0,COAD
C20orf72,PTTG1,0,COAD
KRAS,NUDT14,0,COAD
BLM,GFRA3,0,COAD
DCPS,MUS81,0,COAD
AKAP13,BLM,0,COAD
IL9,MUS81,0,COAD
MUS81,RBPJL,0,COAD
FBXO44,KRAS,0,COAD
MUS81,POLR2K,0,COAD
KRAS,TCTA,0,COAD
PTEN,ZNF182,0,COAD
HSD17B11,PTEN,0,COAD
KRAS,UQCRFS1,0,COAD
KRAS,MBD6,0,COAD
ARHGAP8,KRAS,0,COAD
KRAS,WNT8B,0,COAD
KRAS,OR2T11,0,COAD
PTTG1,USP5,0,COAD
MUS81,RSPO4,0,COAD
DCTN1,PTEN,0,COAD
MUS81,TMEM104,0,COAD
C2orf18,PTEN,0,COAD
CSF1,PTTG1,0,COAD
ARHGEF12,PTTG1,0,COAD
C5orf63,KRAS,0,COAD
C14orf145,MUS81,0,COAD
HIST1H1A,PTEN,0,COAD
MUS81,SUPT6H,0,COAD
BRD8,KAT5,0,COAD
PTTG1,SLC7A13,0,COAD
KRAS,WDR77,0,COAD
BLM,USP1,0,COAD
BLM,POU2F1,0,COAD
KRAS,LMAN2L,0,COAD
KRAS,MID1IP1,0,COAD
MUS81,SERPINI1,0,COAD
PKD1L3,PTTG1,0,COAD
PTTG1,TNFRSF10B,0,COAD
BLM,EPS15,0,COAD
PTDSS1,PTTG1,0,COAD
FAM149A,PTEN,0,COAD
CHAF1A,PRDM2,0,COAD
BLM,TMEM229B,0,COAD
ADNP,BLM,0,COAD
HSD17B1,KRAS,0,COAD
MUS81,RS1,0,COAD
FBXO42,MUS81,0,COAD
KCNK6,PTEN,1,COAD
BLM,KLHL3,0,COAD
BLM,XRCC1,0,COAD
CDC25B,KRAS,0,COAD
PHF21A,PTEN,0,COAD
MUS81,TAGAP,0,COAD
PTEN,ZNF578,0,COAD
PTTG1,SLITRK3,0,COAD
ABHD13,BLM,0,COAD
CXorf57,KRAS,0,COAD
CCL23,PTEN,0,COAD
MMP27,PTEN,0,COAD
IARS,PTEN,0,COAD
ARMCX5,BLM,0,COAD
BLM,PLAG1,0,COAD
BLM,HMGB3,0,COAD
BLM,C14orf39,0,COAD
BLM,CCND2,0,COAD
EGR4,PTEN,0,COAD
PARS2,PTEN,0,COAD
PHF11,RSF1,0,COAD
PHB,PTEN,0,COAD
CCDC68,KRAS,0,COAD
DPF2,RUVBL2,0,COAD
C2orf43,KRAS,0,COAD
CST9,PTTG1,0,COAD
DPF2,KDM3A,0,COAD
MUS81,POLH,0,COAD
PTEN,ZMAT4,0,COAD
ANXA13,PTEN,0,COAD
PTEN,RLBP1,0,COAD
MECP2,SHPRH,0,COAD
EXT2,MUS81,0,COAD
PTTG1,USP8,0,COAD
BLM,LAMA4,0,COAD
FADS3,MUS81,0,COAD
BLM,GUCY1A3,0,COAD
DCX,KRAS,0,COAD
CXXC1,PTEN,0,COAD
FOXK2,PTEN,0,COAD
KRAS,MAGEA8,0,COAD
ELANE,KRAS,0,COAD
BLM,KITLG,0,COAD
C5orf15,KRAS,0,COAD
BLM,OGFRL1,0,COAD
GNLY,MUS81,0,COAD
PTEN,TCERG1L,0,COAD
PTEN,TRIM31,0,COAD
SP100,TRIM24,0,COAD
FAM102B,PTEN,0,COAD
CDR2,PTTG1,0,COAD
CDC25C,MUS81,0,COAD
DCTN2,PTEN,1,COAD
PTTG1,SYT6,0,COAD
KRAS,RPL12,0,COAD
NCR1,PTEN,0,COAD
KRAS,TACC2,0,COAD
PTEN,ZNF17,0,COAD
BLM,WDR11,0,COAD
MUS81,XKR5,0,COAD
KRAS,SCARNA1,0,COAD
KAT2B,MUS81,0,COAD
BLM,PTTG1,0,COAD
CLMN,PTTG1,0,COAD
MUS81,SIVA1,0,COAD
BLM,DDX1,0,COAD
EPB49,PTTG1,0,COAD
PTEN,SUGT1,0,COAD
BLM,PARVA,0,COAD
C22orf15,KRAS,0,COAD
PTTG1,SGCD,0,COAD
AQP3,PTTG1,0,COAD
PTEN,SMAD7,0,COAD
OPN1LW,PTTG1,0,COAD
CBX4,HDAC4,0,COAD
ACAD9,BLM,0,COAD
KAT5,PRDM4,0,COAD
GCC1,KRAS,0,COAD
MUS81,SLC6A2,0,COAD
BLM,PIGP,0,COAD
FCRL3,PTTG1,0,COAD
CACNB2,MUS81,0,COAD
C3orf59,PTEN,0,COAD
ACTC1,KRAS,0,COAD
CX3CL1,PTTG1,0,COAD
MUS81,UGT2B10,0,COAD
PTEN,SEPSECS,0,COAD
BLM,DYDC2,0,COAD
MUS81,TRNT1,0,COAD
KRAS,PPWD1,1,COAD
CCL16,KRAS,0,COAD
CDYL,SMARCD3,0,COAD
KCNMB3,MUS81,0,COAD
KRAS,MAP3K7,0,COAD
KCNA6,PTEN,0,COAD
KRAS,POC1A,0,COAD
ITIH4,PTEN,0,COAD
BLM,LSAMP,0,COAD
BLM,C20orf72,0,COAD
MCM9,PTTG1,0,COAD
CCNC,PTEN,0,COAD
CCNA1,KRAS,0,COAD
LONP2,PTTG1,0,COAD
BLM,ZSWIM2,0,COAD
PTEN,PTPN12,0,COAD
C1orf103,MUS81,0,COAD
C9orf11,KRAS,0,COAD
KRAS,TRIM25,0,COAD
BLM,MTMR3,0,COAD
FUBP1,MUS81,0,COAD
PTEN,SMOX,0,COAD
BLM,SLC39A12,0,COAD
BLM,PRKAR2A,0,COAD
FRMD6,KRAS,0,COAD
BLM,NMT1,0,COAD
KRAS,LINC00264,0,COAD
BLM,CLEC4G,0,COAD
CCDC58,KRAS,0,COAD
AHCYL1,KRAS,0,COAD
BLM,TNNT1,0,COAD
KRAS,NAT1,0,COAD
AIPL1,PTTG1,0,COAD
GEN1,MUS81,0,COAD
PTEN,UBE2V1,0,COAD
ACOT2,MUS81,0,COAD
GAB2,MUS81,0,COAD
PTEN,TNFRSF11A,0,COAD
CPNE6,MUS81,0,COAD
PTTG1,SH3PXD2B,0,COAD
PTTG1,ST6GAL1,0,COAD
MUS81,SCARF2,0,COAD
PTEN,WAC,0,COAD
C5orf30,KRAS,1,COAD
MUS81,RDH8,0,COAD
MUS81,PRMT8,0,COAD
FAM180B,KRAS,0,COAD
BLM,PPP2R4,1,COAD
PHF11,SP140L,0,COAD
MUS81,SPAST,0,COAD
ATG4A,BLM,0,COAD
C18orf8,PTTG1,0,COAD
MUS81,STRC,0,COAD
KCTD15,KRAS,0,COAD
KRAS,NR3C1,0,COAD
BLM,WNT9B,0,COAD
PTTG1,RIMKLB,0,COAD
HIST1H3B,PTEN,0,COAD
BLM,HSD17B11,0,COAD
CHAF1A,PHF1,0,COAD
ARHGAP20,PTTG1,0,COAD
FIG4,KRAS,0,COAD
BLM,FAM163A,0,COAD
EMR3,KRAS,0,COAD
PTEN,SP140,0,COAD
HAGH,KRAS,0,COAD
CDKN2C,PTTG1,0,COAD
CHAF1A,SETD8,0,COAD
BLM,CDC25A,0,COAD
KRAS,URM1,0,COAD
INVS,PTTG1,0,COAD
MUS81,PCDH19,0,COAD
CES3,PTEN,0,COAD
KRAS,TMEM99,0,COAD
C1orf122,PTTG1,0,COAD
GPR82,MUS81,0,COAD
DPF2,GLYR1,0,COAD
MUS81,XAF1,0,COAD
ADAMTS4,MUS81,0,COAD
DNMT3B,DPF2,0,COAD
CALCB,KRAS,0,COAD
BLM,RRS1,0,COAD
ARFRP1,PTEN,0,COAD
DMAP1,WHSC1,0,COAD
MUS81,RRS1,0,COAD
ARL3,PTTG1,0,COAD
PTTG1,TRIM32,0,COAD
EPM2AIP1,PTTG1,0,COAD
MUS81,OVOL2,0,COAD
EPHB2,MUS81,0,COAD
SETD4,TRIM24,0,COAD
PRAMEF4,PTTG1,0,COAD
KRAS,PRMT6,0,COAD
KRAS,PLA2G7,0,COAD
APH1B,PTEN,0,COAD
CAMTA2,KRAS,0,COAD
CXCL3,PTEN,0,COAD
CDK10,MUS81,0,COAD
KRAS,POLI,0,COAD
KRAS,SNAPC1,0,COAD
MUS81,SHARPIN,0,COAD
CNOT3,KRAS,0,COAD
BLM,FUT3,0,COAD
KRAS,TMEM40,0,COAD
NHEJ1,PTEN,0,COAD
DPF2,WHSC1,0,COAD
PTTG1,SEPT9,0,COAD
PHF11,ZGPAT,0,COAD
BLM,HIPK3,0,COAD
BLM,F13A1,0,COAD
CLDN3,KRAS,0,COAD
HDAC2,SMARCD2,0,COAD
BLM,PPARGC1B,0,COAD
BLM,GRB7,0,COAD
B3GNT4,BLM,0,COAD
ALCAM,PTTG1,0,COAD
BHMT,PTEN,0,COAD
PTTG1,RELN,0,COAD
CDCA7L,KRAS,0,COAD
GDF2,MUS81,0,COAD
BLM,MRO,0,COAD
GLIPR1,KRAS,0,COAD
HRG,PTTG1,0,COAD
BLM,DDHD1,0,COAD
C7orf23,PTTG1,0,COAD
DAZL,MUS81,0,COAD
CD19,PTEN,0,COAD
FBLIM1,KRAS,0,COAD
ARIH1,BLM,0,COAD
HAS1,MUS81,0,COAD
MED23,PTEN,0,COAD
EIF4A3,PTTG1,0,COAD
BLM,FPR3,0,COAD
PTTG1,SRXN1,1,COAD
PTTG1,RAB11FIP2,0,COAD
BLM,CATSPER4,0,COAD
PTTG1,RILPL1,0,COAD
PTTG1,SARDH,0,COAD
MUS81,NTRK1,0,COAD
KRAS,ZNF167,0,COAD
LSM12,PTEN,0,COAD
KRAS,NT5C3,0,COAD
B4GALT2,PTEN,0,COAD
CCBL1,KRAS,0,COAD
PTEN,PTS,0,COAD
GBAS,KRAS,0,COAD
GSTM1,KRAS,0,COAD
CASZ1,PTTG1,0,COAD
HILS1,MUS81,0,COAD
KLHL28,PTEN,0,COAD
KRAS,SLC25A24,0,COAD
IL2RB,MUS81,1,COAD
BLM,SYPL1,0,COAD
KLHL21,KRAS,0,COAD
PTEN,SPON2,0,COAD
KRAS,LUC7L,0,COAD
KRAS,TNFAIP6,0,COAD
MUS81,OXGR1,0,COAD
KRAS,ZC3H10,1,COAD
BLM,MPO,0,COAD
ARC,MUS81,0,COAD
CKLF,KRAS,0,COAD
EEF2,MAP2K1,0,COAD
CIC,PTTG1,0,COAD
KRAS,SYCP2,0,COAD
FAM9B,PTTG1,0,COAD
ASB17,MUS81,0,COAD
ATAD2,KAT5,0,COAD
SETD2,SETD4,0,COAD
GLB1L,KRAS,0,COAD
AKAP5,KRAS,0,COAD
MCM6,MUS81,0,COAD
MAPK10,PTTG1,0,COAD
PAICS,PTTG1,0,COAD
KRAS,RAPGEF6,0,COAD
MYBPHL,PTEN,0,COAD
PTTG1,STAT5A,0,COAD
IGFBP5,PTTG1,0,COAD
KRAS,NEUROD4,0,COAD
ERI3,PTTG1,0,COAD
FSCN1,MUS81,0,COAD
DHX33,PTTG1,0,COAD
CAD,MUS81,0,COAD
MUS81,SHPRH,0,COAD
BLM,TNFSF14,0,COAD
PLA2R1,PTEN,0,COAD
FBXO33,PTEN,0,COAD
HOXA11,MUS81,0,COAD
MAPKBP1,MUS81,0,COAD
PTTG1,SPAG16,0,COAD
ILKAP,KRAS,0,COAD
AFF3,PTTG1,0,COAD
PTEN,RRAGC,0,COAD
BLM,PGR,0,COAD
FAM155B,PTEN,0,COAD
GSTA3,MUS81,0,COAD
ACAP1,KRAS,0,COAD
BLM,ZFP42,0,COAD
KRAS,TMEM206,0,COAD
MYL5,PTEN,0,COAD
MMP8,MUS81,0,COAD
KRAS,MBOAT2,0,COAD
MUS81,PID1,0,COAD
PTTG1,ZNF221,0,COAD
CITED2,PTTG1,0,COAD
KDM4A,SUV39H1,0,COAD
PTEN,RORC,0,COAD
AIFM2,PTTG1,0,COAD
MUS81,SERPINA11,0,COAD
ME3,PTTG1,0,COAD
CLIC6,PTEN,0,COAD
C5orf24,PTTG1,0,COAD
ENTHD1,KRAS,0,COAD
BLM,CLPTM1,0,COAD
BCCIP,KRAS,0,COAD
OPRD1,PTEN,0,COAD
CYCS,MUS81,0,COAD
BLM,ERMAP,0,COAD
MUS81,PUM2,0,COAD
MUS81,PPP4R1L,0,COAD
KRAS,ZIC1,0,COAD
PTEN,SEC14L2,0,COAD
DYNC2LI1,MUS81,0,COAD
KCNK3,KRAS,0,COAD
KRAS,TXNDC12,0,COAD
MUS81,TRIM72,1,COAD
OSGEP,PTTG1,0,COAD
ADRA2A,PTTG1,0,COAD
COG3,MUS81,0,COAD
MUS81,SLC46A3,0,COAD
KRAS,PRF1,0,COAD
HIST1H2BJ,KRAS,0,COAD
BLM,PTDSS1,0,COAD
CRTAC1,MUS81,0,COAD
KRAS,TMED7,0,COAD
MOG,PTTG1,0,COAD
ESPN,PTTG1,0,COAD
MUS81,SFRS7,0,COAD
MUS81,PIGL,0,COAD
DDX52,PTEN,0,COAD
BLM,KCNS2,0,COAD
HAL,PTEN,0,COAD
BLM,FTSJD2,0,COAD
ANXA9,MUS81,0,COAD
ADAM29,KRAS,0,COAD
CSF1R,PTTG1,0,COAD
BLM,USP47,0,COAD
PTTG1,TP53I11,0,COAD
MUS81,RPS16,0,COAD
HTR1F,PTTG1,0,COAD
FAM3C,KRAS,0,COAD
KRAS,ZCCHC14,0,COAD
BLM,PLEKHB2,0,COAD
BLM,LPAR6,0,COAD
BLM,EPB49,0,COAD
MDM1,PTEN,0,COAD
KRAS,STYX,0,COAD
FDX1L,KRAS,0,COAD
BLM,ZFPM2,0,COAD
FBXO10,MTA2,0,COAD
KRAS,MAMLD1,0,COAD
CCL25,PTEN,0,COAD
ADAP2,BLM,0,COAD
PYGO2,SMARCA1,0,COAD
BLM,KCTD8,0,COAD
HS3ST5,PTEN,0,COAD
SMARCD3,SUV39H1,0,COAD
CRISP1,MUS81,0,COAD
GABPA,PTTG1,0,COAD
BLM,PCDHB12,0,COAD
C8orf33,MUS81,0,COAD
KRAS,OR13C2,0,COAD
ETAA1,KRAS,0,COAD
PTEN,ZNF592,0,COAD
KRAS,OPHN1,0,COAD
PTTG1,WNK4,0,COAD
BLM,PLEKHG3,1,COAD
PTTG1,UTS2R,0,COAD
CENPJ,PTTG1,0,COAD
ANKRD17,PTEN,0,COAD
BLM,CAPRIN1,0,COAD
MUS81,TTC29,0,COAD
BLM,ETV3,0,COAD
NLRP4,PTTG1,0,COAD
KRAS,LY6G6E,0,COAD
KRAS,NDUFAF4,0,COAD
PTEN,SLC39A7,0,COAD
LRMP,PTTG1,0,COAD
MUS81,PSMB3,0,COAD
CORO6,PTTG1,0,COAD
BLM,C5AR1,0,COAD
BLM,ZNF93,0,COAD
BLM,CDK2AP1,0,COAD
KRAS,TEK,0,COAD
C5orf35,MUS81,0,COAD
POLR3F,PTTG1,0,COAD
GUCA2B,PTTG1,0,COAD
KRAS,SPATA2,0,COAD
KRAS,TRIOBP,0,COAD
BLM,OR2D2,0,COAD
PRMT1,SETD8,0,COAD
PTTG1,TCTE3,0,COAD
C2orf77,KRAS,0,COAD
AMZ2P1,KRAS,0,COAD
MUS81,PARP9,0,COAD
PTTG1,ZNF773,0,COAD
MUS81,ZNF626,0,COAD
CCL7,PTTG1,0,COAD
PRICKLE4,PTTG1,0,COAD
OR1B1,PTEN,0,COAD
PTTG1,TUBA1B,0,COAD
KRAS,LGALS4,0,COAD
LCN15,MUS81,0,COAD
ATAD3B,MUS81,0,COAD
KRAS,UBE2D4,0,COAD
ECHS1,KRAS,0,COAD
BLM,SYTL4,0,COAD
C9orf7,PTEN,0,COAD
DEK,KRAS,0,COAD
MUS81,UBR5,0,COAD
ARHGEF10,PTTG1,0,COAD
PTTG1,SRGAP2,0,COAD
GLIPR2,PTEN,0,COAD
EMR2,PTTG1,0,COAD
ERBB3,PTEN,0,COAD
PCDHAC2,PTEN,0,COAD
FAM166A,MUS81,0,COAD
IQSEC1,KRAS,0,COAD
GLTSCR1,KRAS,0,COAD
KRAS,RDX,0,COAD
EYS,PTEN,0,COAD
FAM120B,MUS81,0,COAD
BLM,TUSC2,0,COAD
CCDC68,PTEN,0,COAD
CBX4,DPF3,0,COAD
PKP3,PTEN,1,COAD
OR12D2,PTTG1,0,COAD
BLM,FBLIM1,0,COAD
CHD1,MTA2,0,COAD
CUL4B,PTEN,0,COAD
MUS81,TMPRSS2,0,COAD
IPO8,PTTG1,0,COAD
CHGA,PTEN,0,COAD
BLM,PIM1,0,COAD
CAPNS2,PTEN,0,COAD
BLM,UBTD1,0,COAD
PRDM1,PTTG1,0,COAD
PTTG1,SCN10A,0,COAD
BLM,POLR2G,0,COAD
BLM,THBS2,0,COAD
BLM,FOXA1,0,COAD
KRAS,PIP4K2C,0,COAD
BLM,UTP11L,0,COAD
MUS81,SYT15,0,COAD
CBX4,ZCWPW1,0,COAD
ANKRD32,KRAS,0,COAD
CNKSR3,PTTG1,0,COAD
PTTG1,ZNF445,0,COAD
CEP55,PTTG1,0,COAD
KRAS,SLC12A5,0,COAD
BLM,IKBKE,0,COAD
MUS81,RAMP2,0,COAD
KRAS,TTLL10,0,COAD
IL21,MUS81,0,COAD
PTEN,SLC4A9,0,COAD
BLM,DUSP3,0,COAD
KRAS,STX19,0,COAD
KRAS,ORMDL1,0,COAD
MRPS31,MUS81,0,COAD
LPIN1,PTTG1,0,COAD
IL12RB2,PTTG1,0,COAD
APOC2,KRAS,0,COAD
BLM,HIBCH,0,COAD
MUS81,TRIM22,0,COAD
GK2,MUS81,0,COAD
BLM,FAM171B,0,COAD
C12orf24,MUS81,0,COAD
C10orf140,PTTG1,0,COAD
MUS81,ZNF503,0,COAD
MUS81,POU4F1,0,COAD
ATAD1,KRAS,0,COAD
MCM6,PTTG1,0,COAD
ITGB3BP,KRAS,0,COAD
PTEN,XRCC1,0,COAD
PTTG1,ZSCAN29,0,COAD
CDYL,DPF2,0,COAD
EXOSC4,MUS81,0,COAD
BLM,FMO5,0,COAD
DTNA,KRAS,0,COAD
PTTG1,TAB1,0,COAD
MUS81,OTUD7B,0,COAD
BLM,ERP27,0,COAD
PTTG1,TNFRSF1B,0,COAD
CHERP,PTTG1,0,COAD
PTTG1,RABEP2,0,COAD
ATP5B,KRAS,0,COAD
PTEN,ZNF23,0,COAD
PIK3R1,PTEN,0,COAD
KRAS,VWA5A,0,COAD
KRAS,PRNP,0,COAD
KRAS,TARBP2,0,COAD
KRAS,RIPK3,0,COAD
HDAC5,SETDB2,0,COAD
KCNMA1,PTTG1,0,COAD
PTEN,SLC22A4,0,COAD
BLM,ZNF707,0,COAD
HOXC10,PTEN,0,COAD
ABHD1,KRAS,0,COAD
FAM106A,PTTG1,0,COAD
MUS81,SLC39A11,0,COAD
BLM,EBF1,0,COAD
CACNG6,KRAS,0,COAD
PTEN,ZNF620,0,COAD
KRAS,SYNJ2,0,COAD
KRAS,OR11H1,0,COAD
PTTG1,SIRPA,0,COAD
PTTG1,SHB,0,COAD
CRBN,PTTG1,0,COAD
CD300LB,PTEN,0,COAD
ELMOD1,KRAS,0,COAD
HIST1H2BO,KRAS,0,COAD
CD40LG,PTTG1,0,COAD
CDH26,PTEN,0,COAD
BLM,ZNF519,0,COAD
BLM,NCOA3,0,COAD
IQSEC2,PTTG1,0,COAD
CHAT,KRAS,0,COAD
RUVBL1,SUV420H2,0,COAD
MUS81,ZNF227,0,COAD
PTTG1,RPS2,0,COAD
C5orf45,KRAS,0,COAD
PTEN,SOX13,0,COAD
MUS81,YEATS2,0,COAD
BLM,GOLGB1,0,COAD
BLM,TDRD7,0,COAD
BLM,PEBP4,0,COAD
BAZ2B,SUV39H1,0,COAD
BLM,FER,1,COAD
MUS81,TRIM5,0,COAD
KDM5A,PHF11,0,COAD
PTEN,ZNF26,0,COAD
EBF1,PTTG1,0,COAD
PTTG1,ZNF215,0,COAD
LSS,PTEN,0,COAD
GANC,PTTG1,0,COAD
MUS81,SNCA,0,COAD
BLM,TMEM128,0,COAD
KRAS,SLC14A1,0,COAD
KRAS,NPEPPS,0,COAD
FGF4,PTEN,0,COAD
IP6K3,KRAS,0,COAD
KRAS,TSC22D3,0,COAD
MBL2,PTEN,0,COAD
MUS81,SCN2B,0,COAD
KLK6,MUS81,0,COAD
BLM,U2AF1,0,COAD
DGCR2,PTTG1,0,COAD
KRAS,KRT20,0,COAD
KRAS,OR13C3,0,COAD
CKLF,MUS81,0,COAD
BLM,DGKG,0,COAD
HN1L,MUS81,0,COAD
BLM,ITPRIPL1,0,COAD
AFF2,BLM,0,COAD
PTEN,RANBP2,0,COAD
KRAS,PRIM1,0,COAD
MUS81,OSBPL3,0,COAD
BLM,RBP5,0,COAD
PTTG1,ZMAT2,0,COAD
GRM1,KRAS,0,COAD
LHPP,MUS81,0,COAD
MUS81,SCGB1D4,0,COAD
MUS81,RORC,0,COAD
PDE1B,PTTG1,0,COAD
MUS81,PEBP1,0,COAD
ACOX1,MUS81,0,COAD
MECP2,SETD2,0,COAD
KRAS,SIGLEC12,0,COAD
C9orf135,MUS81,0,COAD
MTHFR,MUS81,0,COAD
EPYC,PTTG1,0,COAD
PTTG1,USP16,0,COAD
MUS81,UBA3,1,COAD
BLM,LHX4,0,COAD
HDAC5,PHF7,0,COAD
KRAS,REV3L,0,COAD
CBX2,PHF11,0,COAD
KRAS,TUBB2C,0,COAD
KRAS,TAC4,0,COAD
BLM,HAVCR2,0,COAD
KRAS,MEPE,0,COAD
ATG4B,MUS81,0,COAD
MAN1B1,PTTG1,0,COAD
CCDC92,PTEN,0,COAD
ARHGAP33,KRAS,0,COAD
MUS81,SLC30A2,0,COAD
BLM,RHEBL1,0,COAD
IL17A,KRAS,0,COAD
DGKH,PTEN,0,COAD
PTEN,SGTA,0,COAD
KRAS,NANOS3,0,COAD
BLM,RNF133,0,COAD
DYM,PTEN,0,COAD
PTEN,YARS,0,COAD
PTEN,ZDHHC11,0,COAD
PTTG1,VGLL3,0,COAD
MUS81,NUCKS1,0,COAD
PTEN,SEZ6,0,COAD
DDAH2,PTEN,1,COAD
BLM,KRT33B,0,COAD
BLM,ORMDL1,0,COAD
MASP1,PTEN,0,COAD
PTEN,RAP2A,0,COAD
NCOR2,SMARCD2,0,COAD
KRAS,MLLT4,0,COAD
MEIS3,PTTG1,0,COAD
ADCY6,PTTG1,0,COAD
BLM,LARS,0,COAD
SMARCA1,SP140L,0,COAD
PTEN,RBCK1,0,COAD
KRAS,TMEM233,0,COAD
MUS81,TMEM204,0,COAD
C14orf159,MUS81,0,COAD
ASH1L,BLM,0,COAD
KIF2B,PTTG1,0,COAD
HBBP1,KRAS,0,COAD
CHD8,SETD8,0,COAD
PTTG1,UGT1A10,0,COAD
CEACAM1,PTTG1,0,COAD
CBWD3,PTEN,0,COAD
NMNAT1,PTTG1,0,COAD
PTTG1,RPE65,0,COAD
MUS81,RGS1,0,COAD
BLM,LRP1B,0,COAD
KCNF1,PTEN,0,COAD
EFCAB5,PTTG1,0,COAD
BLM,SLCO1A2,0,COAD
BLM,SUSD1,0,COAD
MMP23B,PTEN,0,COAD
ATP5G2,KRAS,0,COAD
PTEN,SKIV2L2,0,COAD
BLM,SMURF1,0,COAD
PTTG1,SEZ6L2,1,COAD
CLN6,PTTG1,0,COAD
BLM,TEKT5,0,COAD
PHF8,SETD8,0,COAD
PTTG1,TMCC1,0,COAD
PTTG1,THOC7,0,COAD
NPM3,PTTG1,0,COAD
MED26,PTEN,0,COAD
PTEN,SLC17A9,0,COAD
BLM,GPR162,0,COAD
KRAS,PSMD11,0,COAD
PLXNA4,PTTG1,0,COAD
BLM,FOXL2,0,COAD
PTTG1,SMN2,0,COAD
BLM,CRELD1,0,COAD
HMGCLL1,PTTG1,0,COAD
BLM,ZNF221,0,COAD
PTEN,ZNF687,0,COAD
CRYBB1,KRAS,0,COAD
PTTG1,ZNF350,0,COAD
ALX1,KRAS,0,COAD
BLM,CD8A,0,COAD
BLM,C16orf45,0,COAD
PTTG1,TATDN1,0,COAD
BLM,ZNF608,0,COAD
MUS81,MYO18B,0,COAD
PPP1R11,PTTG1,0,COAD
CUL3,PTTG1,0,COAD
IBTK,MUS81,0,COAD
PTEN,SDHD,0,COAD
PTEN,RNF130,0,COAD
AP1AR,PTEN,0,COAD
KRAS,TCF4,0,COAD
BLM,ZNF613,0,COAD
KRAS,ZNF586,0,COAD
FAM43B,KRAS,0,COAD
MUS81,RFPL1,0,COAD
BLM,CLCNKB,0,COAD
ABCF2,PTEN,0,COAD
PLCE1,PTTG1,0,COAD
KRAS,SYNPO2L,0,COAD
GTF2B,MUS81,0,COAD
DNAJA2,KRAS,0,COAD
LCN9,PTTG1,0,COAD
KRAS,TRIM77,0,COAD
SETD2,ZGPAT,0,COAD
APBB2,BLM,0,COAD
DNAH12,PTEN,0,COAD
AMELX,KRAS,0,COAD
MUS81,NAGK,0,COAD
PTTG1,VWA5A,0,COAD
KRAS,MBOAT1,0,COAD
DPF2,MSL3,0,COAD
C12orf52,KRAS,0,COAD
ALS2CL,MUS81,0,COAD
GNL3L,KRAS,1,COAD
